date,event_type,crypto,mention_count,avg_sentiment,total_importance
2025-11-11,Regulatory Action,Bitcoin,1,-0.1779,8.0
2025-11-10,Hack / Exploit,Bitcoin,1,-0.5165,126.0
2025-11-10,Market Crash,Bitcoin,2,0.3045,100.0
2025-11-10,Network Outage,Bitcoin,1,0.0,50.0
2025-11-08,Network Outage,Bitcoin,1,0.0,81.0
2025-11-07,Network Outage,Bitcoin,3,0.27446666666666664,2063.0
2025-11-07,Market Crash,Ethereum Classic,1,0.296,140.0
2025-11-06,Network Outage,Bitcoin,2,-0.2608,658.0
2025-11-06,Market Crash,Bitcoin,2,-0.3062,385.0
2025-11-06,Regulatory Action,Bitcoin,1,-0.4404,21.0
2025-11-06,Network Outage,Ethereum,1,-0.4503,16.0
2025-11-06,Network Outage,NEAR Protocol,1,-0.4503,16.0
2025-11-05,Market Crash,Bitcoin,2,-0.44335,429.0
2025-11-05,Hack / Exploit,Bitcoin,1,-0.1771,206.0
2025-11-05,Network Outage,Bitcoin,1,0.0,142.0
2025-11-05,Network Outage,Ethereum,1,0.4404,31.0
2025-11-05,Regulatory Action,Ethereum,1,0.4404,31.0
2025-11-04,Market Crash,Bitcoin,7,-0.05185714285714286,2751.0
2025-11-04,Network Outage,Bitcoin,1,0.6249,1936.0
2025-11-04,Market Crash,Ethereum,2,-0.20095,992.0
2025-11-04,Market Crash,XRP,2,0.07385,501.0
2025-11-04,Hack / Exploit,Ethereum,1,-0.0396,217.0
2025-11-04,Market Crash,Solana,1,0.1477,10.0
2025-11-04,Network Outage,Ethereum,1,0.7906,8.0
2025-11-04,Network Outage,XRP,1,0.5859,8.0
2025-11-04,Network Outage,Hyperliquid,1,-0.128,4.0
2025-11-04,Market Crash,Chainlink,1,0.7833,3.0
2025-11-03,Market Crash,Bitcoin,3,0.27213333333333334,1138.0
2025-11-03,Market Crash,Dogecoin,1,0.2023,359.0
2025-11-03,Market Crash,Ethereum,1,0.2023,359.0
2025-11-03,Regulatory Action,Bitcoin,1,0.8432,214.0
2025-11-03,Network Outage,Bitcoin,1,0.3612,10.0
2025-11-02,Regulatory Action,Bitcoin,1,0.4927,28.0
2025-11-02,Regulatory Action,Ethereum,1,0.4927,28.0
2025-11-01,Regulatory Action,Bitcoin,5,0.32422,656.0
2025-11-01,Network Outage,Ethereum,1,0.8814,26.0
2025-11-01,Network Outage,Bitcoin,9,0.10188888888888889,9.0
2025-11-01,Market Crash,Bitcoin,7,0.23812857142857144,7.0
2025-11-01,Market Crash,Dogecoin,1,0.5154,1.0
2025-11-01,Market Crash,Ethereum,1,0.9231,1.0
2025-11-01,Market Crash,Monero,1,0.9231,1.0
2025-11-01,Market Crash,Tether,1,0.8687,1.0
2025-11-01,Network Outage,Cardano,1,-0.4588,1.0
2025-11-01,Network Outage,Dogecoin,1,0.5154,1.0
2025-11-01,Network Outage,Zcash,1,0.8689,1.0
2025-11-01,Regulatory Action,Cardano,1,-0.4588,1.0
2025-11-01,Regulatory Action,Ethereum,1,0.5267,1.0
2025-11-01,Regulatory Action,Ethereum Classic,1,-0.9468,1.0
2025-11-01,Regulatory Action,Polkadot,1,0.0,1.0
2025-11-01,Regulatory Action,Solana,1,0.6808,1.0
2025-10-31,Regulatory Action,Bitcoin,8,0.6339125,90.0
2025-10-31,Regulatory Action,Cronos,1,0.5228,83.0
2025-10-31,Regulatory Action,Ethereum Classic,1,0.5228,83.0
2025-10-31,Market Crash,Bitcoin,7,0.3066,57.0
2025-10-31,Market Crash,Ethereum,3,-0.38810000000000006,29.0
2025-10-31,Network Outage,Bitcoin,7,0.1055142857142857,7.0
2025-10-31,Network Outage,Dogecoin,3,-0.15153333333333333,3.0
2025-10-31,Exchange Listing,Dogecoin,2,0.34895,2.0
2025-10-31,Network Outage,Ethereum,2,-0.16455,2.0
2025-10-31,Regulatory Action,Dogecoin,2,-0.22474999999999998,2.0
2025-10-31,Market Crash,Aster,1,-0.3182,1.0
2025-10-31,Network Outage,Aave,1,0.0,1.0
2025-10-31,Network Outage,Cardano,1,0.0,1.0
2025-10-31,Network Outage,Toncoin,1,0.4678,1.0
2025-10-31,Regulatory Action,Hedera,1,0.34,1.0
2025-10-30,Market Crash,Bitcoin,13,-0.3072846153846154,840.0
2025-10-30,Regulatory Action,Bitcoin,8,0.2027625,295.0
2025-10-30,Network Outage,Bitcoin,15,0.35282,15.0
2025-10-30,Regulatory Action,Ethereum,3,0.5108666666666667,3.0
2025-10-30,Market Crash,Ethereum Classic,2,0.6686000000000001,2.0
2025-10-30,Market Crash,XRP,2,-0.6152500000000001,2.0
2025-10-30,Network Outage,Ethereum,2,0.2264,2.0
2025-10-30,Network Outage,XRP,2,-0.27270000000000005,2.0
2025-10-30,Regulatory Action,Solana,2,0.67325,2.0
2025-10-30,Market Crash,Ethereum,1,-0.7906,1.0
2025-10-30,Market Crash,Solana,1,-0.296,1.0
2025-10-30,Network Outage,NEAR Protocol,1,0.0258,1.0
2025-10-30,Network Outage,Solana,1,-0.9042,1.0
2025-10-30,Network Outage,Zcash,1,-0.1108,1.0
2025-10-30,Partnership / Collaboration,Ethereum Classic,1,0.6369,1.0
2025-10-30,Regulatory Action,Cardano,1,0.3182,1.0
2025-10-30,Regulatory Action,Hyperliquid,1,-0.2263,1.0
2025-10-30,Regulatory Action,XRP,1,0.6369,1.0
2025-10-29,Hack / Exploit,Ethereum,2,0.4019,61.0
2025-10-29,Network Outage,Bitcoin,16,0.2675125,16.0
2025-10-29,Market Crash,Bitcoin,3,0.013133333333333294,3.0
2025-10-29,Network Outage,Ethereum,3,0.2796,3.0
2025-10-29,Market Crash,Ethereum,2,0.05609999999999998,2.0
2025-10-29,Network Outage,Chainlink,2,0.431,2.0
2025-10-29,Network Outage,XRP,2,0.41459999999999997,2.0
2025-10-29,Exchange Listing,Bitcoin,1,0.8995,1.0
2025-10-29,Exchange Listing,Dogecoin,1,-0.0541,1.0
2025-10-29,Hack / Exploit,Bitcoin,1,0.1779,1.0
2025-10-29,Market Crash,Solana,1,-0.09,1.0
2025-10-29,Network Outage,Avalanche,1,0.6597,1.0
2025-10-29,Network Outage,BNB,1,0.6597,1.0
2025-10-29,Network Outage,Cardano,1,0.6597,1.0
2025-10-29,Network Outage,Cronos,1,0.6597,1.0
2025-10-29,Network Outage,Dogecoin,1,0.6597,1.0
2025-10-29,Network Outage,Ethereum Classic,1,0.6597,1.0
2025-10-29,Network Outage,Hedera,1,0.6597,1.0
2025-10-29,Network Outage,NEAR Protocol,1,0.6953,1.0
2025-10-29,Network Outage,Polkadot,1,0.6597,1.0
2025-10-29,Network Outage,Solana,1,0.6597,1.0
2025-10-29,Network Outage,TRON,1,0.6597,1.0
2025-10-29,Regulatory Action,Bitcoin,1,0.4215,1.0
2025-10-29,Regulatory Action,Ethereum Classic,1,0.7548,1.0
2025-10-29,Regulatory Action,Solana,1,0.9042,1.0
2025-10-29,Regulatory Action,XRP,1,0.0,1.0
2025-10-28,Network Outage,Bitcoin,14,0.1902714285714286,46.0
2025-10-28,Network Outage,Monero,2,0.0,34.0
2025-10-28,Market Crash,Bitcoin,14,-0.12746428571428572,14.0
2025-10-28,Regulatory Action,Bitcoin,8,0.452225,8.0
2025-10-28,Network Outage,Hedera,2,0.049800000000000004,2.0
2025-10-28,Exchange Listing,Bitcoin,1,0.5574,1.0
2025-10-28,Hack / Exploit,Chainlink,1,-0.6486,1.0
2025-10-28,Market Crash,Ethereum,1,-0.2263,1.0
2025-10-28,Market Crash,Litecoin,1,-0.4019,1.0
2025-10-28,Market Crash,XRP,1,-0.3182,1.0
2025-10-28,Network Outage,Chainlink,1,0.2023,1.0
2025-10-28,Network Outage,Ethereum,1,-0.2263,1.0
2025-10-28,Regulatory Action,Ethereum,1,0.9531,1.0
2025-10-28,Regulatory Action,Hyperliquid,1,0.9531,1.0
2025-10-28,Regulatory Action,Monero,1,0.6659,1.0
