crypto,test,r,p_value,r_squared,ci_95_lower,ci_95_upper,is_significant,is_significant_bonferroni,effect_size
BTC,Pearson,0.0722284,0.63728,0.00521695,-0.186994,0.346521,False,False,Weak
BTC,Spearman,0.0886722,0.56243,nan,nan,nan,False,False,Weak
ETH,Pearson,0.248562,0.103747,0.061783,-0.0420579,0.485035,False,False,Weak
ETH,Spearman,0.276049,0.0697065,nan,nan,nan,False,False,Weak
SOL,Pearson,0.0419042,0.784613,0.00175597,-0.27809,0.32332,False,False,Weak
SOL,Spearman,-0.0263659,0.8635,nan,nan,nan,False,False,Weak
crypto,lag_days,p_value,significant,,,,,,
:---------,-----------:,----------:,:--------------,,,,,,
BTC,1,0.459213,False,,,,,,
BTC,2,0.875894,False,,,,,,
BTC,3,0.219119,False,,,,,,
ETH,1,0.0605205,False,,,,,,
ETH,2,0.0707628,False,,,,,,
ETH,3,0.135864,False,,,,,,
SOL,1,0.23006,False,,,,,,
SOL,2,0.771638,False,,,,,,
SOL,3,0.17671,False,,,,,,
